国民,名詞,一般,*,*,国民,*,*
民主党,名詞,固有名詞,組織,*,民主党,*,*
は,助詞,係助詞,*,*,は,*,*
16,名詞,数,*,*,16,*,*
日,名詞,接尾,助数詞,*,日,*,*
に,助詞,格助詞,一般,*,に,*,*
開い,動詞,自立,*,*,開く,五段・カ行イ音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
第,接頭詞,数接続,*,*,第,*,*
2,名詞,数,*,*,2,*,*
回,名詞,接尾,助数詞,*,回,*,*
総務,名詞,一般,*,*,総務,*,*
会,名詞,接尾,一般,*,会,*,*
で,助詞,格助詞,一般,*,で,*,*
8,名詞,数,*,*,8,*,*
月,名詞,一般,*,*,月,*,*
9,名詞,数,*,*,9,*,*
日,名詞,接尾,助数詞,*,日,*,*
告示,名詞,サ変接続,*,*,告示,*,*
8,名詞,数,*,*,8,*,*
月,名詞,一般,*,*,月,*,*
26,名詞,数,*,*,26,*,*
日,名詞,接尾,助数詞,*,日,*,*
投票,名詞,サ変接続,*,*,投票,*,*
の,助詞,連体化,*,*,の,*,*
香川,名詞,固有名詞,地域,一般,香川,*,*
県知事,名詞,一般,*,*,県知事,*,*
選,名詞,接尾,一般,*,選,*,*
で,助詞,格助詞,一般,*,で,*,*
現職,名詞,一般,*,*,現職,*,*
の,助詞,連体化,*,*,の,*,*
浜田,名詞,固有名詞,人名,姓,浜田,*,*
恵,名詞,固有名詞,人名,名,恵,*,*
造,名詞,一般,*,*,造,*,*
(,名詞,サ変接続,*,*,(,*,*
は,助詞,係助詞,*,*,は,*,*
まだ,副詞,助詞類接続,*,*,まだ,*,*
けいぞう,名詞,固有名詞,人名,名,けいぞう,*,*
),名詞,サ変接続,*,*,),*,*
さん,名詞,接尾,人名,*,さん,*,*
を,助詞,格助詞,一般,*,を,*,*
推薦,名詞,サ変接続,*,*,推薦,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
決定,名詞,サ変接続,*,*,決定,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
国民,名詞,一般,*,*,国民,*,*
民主党,名詞,固有名詞,組織,*,民主党,*,*
香川,名詞,固有名詞,地域,一般,香川,*,*
県知事,名詞,一般,*,*,県知事,*,*
選,名詞,接尾,一般,*,選,*,*
