馬場,名詞,固有名詞,人名,姓,馬場,*,*
伸幸,名詞,固有名詞,人名,名,伸幸,*,*
幹事,名詞,一般,*,*,幹事,*,*
長,名詞,接尾,一般,*,長,*,*
街頭,名詞,一般,*,*,街頭,*,*
演説,名詞,サ変接続,*,*,演説,*,*
開催,名詞,サ変接続,*,*,開催,*,*
の,助詞,連体化,*,*,の,*,*
お知らせ,名詞,サ変接続,*,*,お知らせ,*,*
10,名詞,数,*,*,10,*,*
月,名詞,一般,*,*,月,*,*
5,名詞,数,*,*,5,*,*
日,名詞,接尾,助数詞,*,日,*,*
(,名詞,サ変接続,*,*,(,*,*
木,名詞,一般,*,*,木,*,*
),名詞,サ変接続,*,*,),*,*
111,名詞,数,*,*,111,*,*
:,名詞,サ変接続,*,*,:,*,*
10,名詞,数,*,*,10,*,*
愛媛,名詞,固有名詞,地域,一般,愛媛,*,*
県,名詞,接尾,地域,*,県,*,*
今治,名詞,固有名詞,地域,一般,今治,*,*
市,名詞,接尾,地域,*,市,*,*
常磐,名詞,固有名詞,地域,一般,常磐,*,*
町,名詞,接尾,地域,*,町,*,*
ドンドビ,名詞,固有名詞,一般,*,ドンドビ,*,*
交差点,名詞,一般,*,*,交差点,*,*
215,名詞,数,*,*,215,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
鹿児島,名詞,固有名詞,地域,一般,鹿児島,*,*
県,名詞,接尾,地域,*,県,*,*
鹿児島,名詞,固有名詞,地域,一般,鹿児島,*,*
市,名詞,接尾,地域,*,市,*,*
金生,名詞,固有名詞,地域,一般,金生,*,*
町,名詞,接尾,地域,*,町,*,*
山形,名詞,固有名詞,地域,一般,山形,*,*
屋,名詞,接尾,一般,*,屋,*,*
前,名詞,副詞可能,*,*,前,*,*
316,名詞,数,*,*,316,*,*
:,名詞,サ変接続,*,*,:,*,*
00,名詞,数,*,*,00,*,*
鹿児島,名詞,固有名詞,地域,一般,鹿児島,*,*
中央,名詞,固有名詞,地域,一般,中央,*,*
駅,名詞,接尾,地域,*,駅,*,*
418,名詞,数,*,*,418,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
博多,名詞,固有名詞,地域,一般,博多,*,*
駅,名詞,接尾,地域,*,駅,*,*
519,名詞,数,*,*,519,*,*
:,名詞,サ変接続,*,*,:,*,*
10,名詞,数,*,*,10,*,*
福岡,名詞,固有名詞,地域,一般,福岡,*,*
県,名詞,接尾,地域,*,県,*,*
粕屋,名詞,固有名詞,地域,一般,粕屋,*,*
郡,名詞,接尾,地域,*,郡,*,*
...,名詞,サ変接続,*,*,...,*,*
