id,created_at,text,fav,RT
1054898941538459648,2018-10-24 00:54:41,☆☆☆☆維新でナイト放送のお知らせ☆☆☆☆日時：10/27（土）20時～場所：東京司会：清水貴之、山本紘子コメンテーター：足立康史ゲスト：柳ヶ瀬裕文ついに今週末です♪皆様ぜひご覧ください。下記URLからご覧い… https://t.co/PquRxntkGY,127,58
1054645350923784192,2018-10-23 08:07:00,本日10/23(火)政調役員会を開催我が党は以前からペーパーレス化を提唱しており、議員が端末を持参し、会議をおこなっております。他党より早くペーパーレス化を進めてまいります！ https://t.co/4q91Wv6TTt,179,65
1054250688081883136,2018-10-22 05:58:45,【日本維新の会公認候補者選挙お知らせ】 10月28日投票日埼玉県草加市議会議員選挙定数28立候補者31人日本維新の会公認小森重紀(こもりしげのり)43歳新人草加市の皆様、よろしくお願いいたします。,175,75
1054182502686896129,2018-10-22 01:27:49,【日本維新の会当選者報告】平成30年10月21日投票日公認3名兵庫県川西市議選挙さかぐち 美佳 36歳現職田中 まみ 39歳新人京都府大山崎町議選挙井上ひろあき 61歳新人公認3名当選致しました。,182,59
1053190585257930752,2018-10-19 07:46:17,【日本維新の会公認候補者選挙お知らせ】 10月21日投票日京都府乙訓郡大山崎町議会議員選挙定数12立候補者15人日本維新の会公認井上ひろあき 61歳新人大山崎町の皆様、よろしくお願いいたします。,75,36
1052787357085097984,2018-10-18 05:04:00,【日本維新の会公認候補者選挙お知らせ】 10月21日投票日兵庫県川西市議会議員選挙定数26立候補者32人日本維新の会公認田中 まみ 39歳新人維新だからできる市民の命を守る改革川西市の皆様、よろしくお願いいた… https://t.co/kVhemopufE,35,16
1052787104994869248,2018-10-18 05:03:00,【日本維新の会公認候補者選挙お知らせ】 10月21日投票日兵庫県川西市議会議員選挙定数26立候補者32人日本維新の会公認前田 たかし 38歳新人維新は身を切る改革！継続中！川西市の皆様、よろしくお願いいたします。 https://t.co/scYdut9SYZ,29,7
1052786601791639557,2018-10-18 05:01:00,【日本維新の会公認候補者選挙お知らせ】 10月21日投票日兵庫県川西市議会議員選挙定数26立候補者32人日本維新の会公認さかぐち 美佳 36歳現1期私の約束！川西元気プラン。川西市の皆様、よろしくお願いいたしま… https://t.co/nT3XsQXneL,34,12
1052786350838214658,2018-10-18 05:00:00,【日本維新の会公認候補者選挙お知らせ】 10月21日投票日兵庫県川西市議会議員選挙定数26立候補者32人日本維新の会公認上田 ひろふみ 71歳現1期川西市への心よりの思い川西市の皆様、よろしくお願いいたします。 https://t.co/awjz97cTGL,17,6
1052417270541107200,2018-10-17 04:33:24,馬場幹事長定例会見生中継 / 馬場幹事長定例記者会見 https://t.co/6ecDpF0jv5,31,16
1052031248158191617,2018-10-16 02:59:30,【日本維新の会公認候補者選挙お知らせ】 10月16日告示21日投票日日本維新の会公認1名京都府大山崎町議会議員選挙井上博明(いのうえひろあき)61歳新人男大山崎町の皆様、よろしくお願い致します。,76,37
1051357078051115008,2018-10-14 06:20:35,【日本維新の会公認候補者選挙お知らせ】 10月14日告示21日投票日日本維新の会公認4名川西市議会議員選挙上田弘文(うえだひろふみ)71歳現職1期男坂口美佳(さかぐちみか)36歳現職1期女前田高志(まえだたかし)38… https://t.co/WTvOMKAQij,106,53
1050271106903433217,2018-10-11 06:25:19,☆☆☆☆学生局✖馬場伸幸幹事長イベント☆☆☆☆「日本の未来　若者からの提言」今週末開催となっております！10/14（日）13時～＠大阪党本部学生の皆様、申し込みは以下のURLよりお願いします☆ https://t.co/3Jis5Vu1ty,51,34
1047335620496904192,2018-10-03 04:00:45,モイ！iPadからキャス配信中 - / 馬場幹事長定例会見 https://t.co/HBExO0SaTr,14,4
1047007205491400704,2018-10-02 06:15:44,モイ！iPadからキャス配信中 - / 片山代表会見 https://t.co/ZRiyX5CEME,17,7
1046681966911733760,2018-10-01 08:43:21,学生の皆様、是非ご協力下さい☆ https://t.co/78i7w7QQm4,57,21
1044777055353679872,2018-09-26 02:33:55,【日本維新の会推薦候補者選挙お知らせ】 9月30日投票日沖縄県知事選挙立候補者4人日本維新の会推薦さきま淳 54歳新人男県民の暮らし最優先宣言１０の実施政策台風が心配です。期日前投票で確実に投票を！沖縄県… https://t.co/hT3h1T2GRs,98,65
1042971948387512320,2018-09-21 03:01:04,★☆★維新でナイトのお知らせ☆★☆日時：9/29（土）20：00～司会：清水貴之、ささきりえコメンテーター：東徹出演者：杉本和巳、石井苗子、串田誠一、他詳細：下記URL参照… https://t.co/2qUzM6C506,66,43
1042970379482845184,2018-09-21 02:54:50,https://t.co/vKey4opdEq,28,10
1041899728349224960,2018-09-18 04:00:27,モイ！iPadからキャス配信中 - https://t.co/RWvp7q72Tp,16,7
